ID,manufacturer,model,model_name,year,body_style,power,ccm,cylinders,steering,transmission,drive,fuel,color,condition,price,mileage_kilometers,decade
289269,Chevrolet,Corvette,Corvette Sting Ray Convertible,1963,Convertible,221,5359,8,Left (LHD),Manual,Rear,Petrol,Black,"",102053,,1960
289239,Aston Martin,Virage,Virage,2011,Coupe,366,5935,12,Right (RHD),Automatic,Rear,Petrol,Black,"",88840,54717.56,2010
289142,Aston Martin,DB 5,DB 5,1964,Convertible,210,3995,6,Right (RHD),Manual,Rear,Petrol,Blue,"",,,1960
289246,Mercedes-Benz,SL-Class,280 SL,1968,Convertible,125,2778,6,Right (RHD),Automatic,Rear,Petrol,Brown,"",228119,,1960
289147,Aston Martin,DBS,DBS V8,1971,Coupe,280,5341,8,Right (RHD),Manual,Rear,Petrol,Blue,"",180034,,1970
289172,Aston Martin,V8,V8 Vantage V550,1994,Coupe,405,5341,8,Right (RHD),Manual,Rear,Petrol,Green,"",,18346.476,1990
289136,Aston Martin,DB 5,DB 5,1964,Convertible,210,3995,6,Right (RHD),Manual,Rear,Petrol,Grey,"",,,1960
243274,Aston Martin,V8,V8 Vantage Volante,1988,Convertible,318,5340,8,Right (RHD),Automatic,Rear,Petrol,Red,"",312156,103802.43,1980
243275,Aston Martin,V8,V8 Volante,1987,Convertible,224,5340,8,Right (RHD),Automatic,Rear,Petrol,Blue,"",207756,,1980
289255,Jaguar,E-Type,E-Type 3.8,1964,Coupe,221,3781,6,Right (RHD),Manual,Rear,Petrol,Black,"",258128,,1960
289164,Aston Martin,V8,V8 EFi,1987,Coupe,232,5340,8,Right (RHD),Automatic,Rear,Petrol,Blue,"",,65982.94,1980
40928,Jaguar,E-Type,E-Type 3.8,1964,Coupe,198,3781,6,Left (LHD),Manual,Rear,Petrol,Gold,Restored,256958,,1960
40921,Jaguar,E-Type,E-Type 3.8,1961,Coupe,198,3781,6,Left (LHD),Manual,Rear,Petrol,Brown,Restored,296128,70810.96,1960
41102,Jaguar,E-Type,E-Type 4.2,1967,Convertible,198,4235,6,Left (LHD),Manual,Rear,Petrol,Yellow,Restored,274088,,1960
41100,Jaguar,E-Type,E-Type 3.8,1963,Coupe,198,3781,6,Right (RHD),Manual,Rear,Petrol,Blue,Restored,338059,,1960
40926,Jaguar,E-Type,E-Type 3.8,1964,Convertible,198,3781,6,Left (LHD),Manual,Rear,Petrol,White,Restored,268378,42647.51,1960
41092,Jaguar,E-Type,E-Type 3.8,1961,Coupe,198,3781,6,Left (LHD),Manual,Rear,Petrol,Brown,Restored,296929,,1960
241046,Kellison,J-4,J-4R,1958,Coupe,221,5358,8,Left (LHD),Manual,Rear,Petrol,Red,"",,,1950
240294,Caterham,Seven,Seven SuperSprint,2018,Convertible,70,1600,3,Right (RHD),Manual,Rear,Petrol,Silver,"",,160.934,2010
240288,Ferrari,F 355,F 355 GTS,1995,Coupe,280,3495,8,Right (RHD),Manual,Rear,Petrol,Red,Original,,94146.39,1990
240280,Lotus,Esprit,Esprit HC,1989,Coupe,128,2195,4,Right (RHD),Manual,Rear,Petrol,Red,Original,,62764.26,1980
250921,Lotus,Elise,Elise 111,1997,Coupe,90,1796,4,Right (RHD),Manual,Rear,Petrol,Blue,Original,,,1990
265240,Lotus,Elise,Elise Sport,2013,Convertible,100,1598,4,Right (RHD),Manual,Rear,Petrol,White,"",39972,40233.5,2010
267251,Lotus,Esprit,Esprit SE,1991,Coupe,197,2174,4,Right (RHD),Manual,Rear,Petrol,Red,"",41070,83685.68,1990
240284,Lotus,Elise,Elise 111,1998,Convertible,90,1796,4,Right (RHD),Manual,Rear,Petrol,Silver,Original,27967,45061.52,1990
263828,Land Rover,Discovery Sport,Discovery Sport 2.0 TD4,2016,4x4,132,1999,4,Right (RHD),Automatic,Rear,Petrol,Red,"",38130,40233.5,2010
240293,AC,Cobra,Cobra 289,2007,Coupe,202,4727,8,Right (RHD),Manual,Rear,Petrol,Red,"",,,2000
263831,Lotus,Elan,Elan SE,1992,Convertible,123,1588,4,Right (RHD),Manual,Rear,Petrol,Red,"",17769,90123.04,1990
240292,Ferrari,F 355,F 355 GTS,1999,Coupe,280,3495,8,Right (RHD),Semi-Automatic,Rear,Petrol,Red,Original,111832,35566.414,1990
240289,Ford,GT,GT,2007,Coupe,410,5408,8,Right (RHD),Manual,Rear,Petrol,Blue,Recreation,,4023.35,2000
257198,Volvo,V 70,V70 D5,2013,Estate,136,2401,5,Right (RHD),Automatic,Front,Diesel,Red,Original,15778,45061.52,2010
240285,Lotus,Elan,Elan Sprint,1971,Convertible,93,1558,4,Right (RHD),Manual,Rear,Petrol,Yellow,Part-Restored,52449,90123.04,1970
280968,Rolls-Royce,20 HP,20 HP,1923,Convertible,15,3127,6,Right (RHD),Manual,Rear,Petrol,Red,"",59971,,1920
280961,Jaguar,XJ S,XJS 5.3 V12,1990,Convertible,207,5345,12,Right (RHD),Automatic,"",Petrol,Red,"",26354,,1980
